Destination Name,Atlas Regions,Country (from Atlas Region)
Buenos Aires,Argentina - Buenos Aires,Argentina
Sydney,Australia - New South Whales,Australia
Brisbane,Australia - Queensland,Australia
Melbourne,Australia - Victoria,Australia
Perth,Australia - Western Australia,Australia
Vienna,Austria - Austria,Austria
Brussels,Belgium - Brussels-Capital Region,Belgium
Ghent,Belgium - Flanders,Belgium
Stolac,Bosnia and Herzegovina - Mostar/Herzegovina,Bosnia and Herzegovina
Mostar,Bosnia and Herzegovina - Mostar/Herzegovina,Bosnia and Herzegovina
Srebrenica,Bosnia and Herzegovina - Republic Srpska (minus East SJJ),Bosnia and Herzegovina
Banja Luka,Bosnia and Herzegovina - Republic Srpska (minus East SJJ),Bosnia and Herzegovina
Konjic + Jablanica,Bosnia and Herzegovina - Sarajevo/Central Bosnia,Bosnia and Herzegovina
Sarajevo,Bosnia and Herzegovina - Sarajevo/Central Bosnia,Bosnia and Herzegovina
Curitiba,Brazil - Parana/South Brazil,Brazil
Rio de Janeiro,Brazil - Rio de Janeiro State,Brazil
Vancouver,Canada - BC + Western Canada,Canada
Ottawa,Canada - Ontario,Canada
Toronto,Canada - Ontario,Canada
Montreal,Canada - Ontario,Canada
Québec City,Canada - Ontario,Canada
Trois Riviers,Canada - Ontario,Canada
Beijing,China - Beijing Area,China
Shanghai,China - Shanghai and Surrounding Regions,China
Shenzhen,China - South China,China
Pearl River Delta Towns,China - South China,China
Guangzhou,China - South China,China
Bogota,Colombia - Bogota,Colombia
Medellin,Colombia - Medellin,Colombia
Puerto Viejo,Costa Rica - Carribean Costa Rica,Costa Rica
Limon,Costa Rica - Carribean Costa Rica,Costa Rica
San Jose CR,Costa Rica - San Jose - Interior Costa Rica,Costa Rica
Split,Croatia - Dalmatia,Croatia
Korcula Town,Croatia - Dalmatia,Croatia
Ston,Croatia - Dalmatia,Croatia
Dubrovnik,Croatia - Dalmatia,Croatia
Lumbarda Korcula,Croatia - Dalmatia,Croatia
Cavtat,Croatia - Dalmatia,Croatia
Orebic,Croatia - Dalmatia,Croatia
Zagreb,Croatia - Interior and Central Croatia,Croatia
Vukovar,Croatia - Interior and Central Croatia,Croatia
Plitvice,Croatia - Interior and Central Croatia,Croatia
Prague,Czechia - Czechia,Czechia
Samso,Denmark - Denmark,Denmark
Aarhus,Denmark - Denmark,Denmark
Copenhagen,Denmark - Denmark,Denmark
Billund + Central Denmark,Denmark - Denmark,Denmark
Otavalo,Ecuador - Ecuador (All),Ecuador
Cairo,Egypt - Greater Cairo,Egypt
Tallinn,Estonia - Estonia,Estonia
Nadi,Fiji - Viti Levu,Fiji
Suva,Fiji - Viti Levu,Fiji
Loches,France - Central France (Loire),France
Loire Park,France - Central France (Loire),France
Tours,France - Central France (Loire),France
Strasbourg,France - Eastern France,France
Bayeux,France - Normandy,France
Mont St Michel,France - Normandy,France
Cherbourg ,France - Normandy,France
Rouen,France - Normandy,France
Normandy Landing Beaches,France - Normandy,France
Rennes,France - North West France (Brittany and Nantes),France
Nantes,France - North West France (Brittany and Nantes),France
Saint Malo,France - North West France (Brittany and Nantes),France
Granville,France - North West France (Brittany and Nantes),France
Paris,France - Northern France,France
Lille,France - Northern France,France
Avignon,France - Southern France,France
Nice,France - Southern France,France
Lyon,France - Southern France,France
Marseille,France - Southern France,France
Annecy,France - Southern France,France
Arles,France - Southern France,France
Nimes,France - Southern France,France
Cannes,France - Southern France,France
Grenoble,France - Southern France,France
Chartres,France - Southern France,France
Berlin,Germany - Berlin and the East,Germany
Dreseden,Germany - Berlin and the East,Germany
Leipzig,Germany - Berlin and the East,Germany
Hamburg,Germany - North Germany,Germany
Cologne,Germany - Rhine Region,Germany
Cape Coast,Ghana - Southern Ghana (Ex Accra),Ghana
*GLOBAL,GLOBAL - Global,GLOBAL
*TRANSIT,GLOBAL - Global,GLOBAL
*VIRTUAL,GLOBAL - Global,GLOBAL
*NFERRY,GLOBAL - Global,GLOBAL
*NFLIGHT,GLOBAL - Global,GLOBAL
*NTRAIN,GLOBAL - Global,GLOBAL
Athens Surroundings,Greece - Athens/Central GR,Greece
Chalkida,Greece - Athens/Central GR,Greece
Delphi,Greece - Athens/Central GR,Greece
Athens Center,Greece - Athens/Central GR,Greece
Athens Beaches + Suonio,Greece - Athens/Central GR,Greece
Aegina,Greece - Athens/Central GR,Greece
Meteora,Greece - Athens/Central GR,Greece
Heraklion,Greece - Crete,Greece
Rethymnon + Coast,Greece - Crete,Greece
Chania,Greece - Crete,Greece
Crete Central Mountain,Greece - Crete,Greece
Santorini,"""Greece - Cycladic Islands (Mykonos, Santorini)""",Greece
Paros,"""Greece - Cycladic Islands (Mykonos, Santorini)""",Greece
Ikaria,"""Greece - Cycladic Islands (Mykonos, Santorini)""",Greece
Kefalonia,Greece - Ionian Islands,Greece
Ithaca,Greece - Ionian Islands,Greece
Southern Lesvos - Mytilini,Greece - Lesvos - Eastern Aegean Islands,Greece
North Lesvos Skala + Molyvos,Greece - Lesvos - Eastern Aegean Islands,Greece
Thessaloniki,Greece - Northern Greece,Greece
Nafplio + Surrounding,Greece - Peloponnese,Greece
Sparta,Greece - Peloponnese,Greece
Corinth,Greece - Peloponnese,Greece
Patras,Greece - Peloponnese,Greece
OLD DELETE Olympia,Greece - Peloponnese,Greece
Peloponnese South,Greece - Peloponnese,Greece
