City;Month;Min. Temperature °C (°F);Max. Temperature °C (°F);Precipitation / Rainfall mm (in);avg. Sun hours (hours);Rainy days (d)
Seville;January;42.7 ;59.6 ;"50
(1)";6.7;5
Seville;February;44.2 ;62.6 ;"47
(1)";7.5;4
Seville;March;48.2 ;67.5 ;"54
(2)";8.5;4
Seville;April;52.2 ;71.9 ;"51
(2)";9.5;5
Seville;May;58.4 ;80 ;"35
(1)";11.2;4
Seville;June;66.4 ;90.1 ;"8
(0)";12.5;1
Seville;July;70.3 ;95.5 ;"2
(0)";12.7;0
Seville;August;71.2 ;95.6 ;"2
(0)";11.9;0
Seville;September;66.2 ;87.1 ;"27
(1)";10.1;3
Seville;October;59.4 ;77.4 ;"69
(2)";8.4;5
Seville;November;49.8 ;65.9 ;"61
(2)";7.2;5
Seville;December;45.3 ;60.9 ;"77
(3)";6.5;5
