City;Month;Min. Temperature °C (°F);Max. Temperature °C (°F);Precipitation / Rainfall mm (in);avg. Sun hours (hours);Rainy days (d)
Aarhus;January;31.9;37.7;55 (2);2.4;8
Aarhus;February;31.3;38.1;45 (1);3.3;8
Aarhus;March;33.4;42.8;46 (1);5.3;8
Aarhus;April;39.4;51.3;46 (1);8.3;8
Aarhus;May;46.6;59.1;60 (2);9.7;8
Aarhus;June;52.4;64.3;72 (2);10.2;8
Aarhus;July;57;68.7;69 (2);10.3;9
Aarhus;August;57.3;67.7;75 (2);9.3;9
Aarhus;September;53.1;62;62 (2);7.0;8
Aarhus;October;46.7;53.5;65 (2);4.6;8
Aarhus;November;40.2;45.7;54 (2);3.0;8
Aarhus;December;34.8;40.2;54 (2);2.5;8
Abu Dhabi;January;59;74.2;8 (0);8.4;1
Abu Dhabi;February;60.3;77;10 (0);9.4;1
Abu Dhabi;March;64.3;82.8;11 (0);10.4;1
Abu Dhabi;April;70.7;91;3 (0);11.3;0
Abu Dhabi;May;77.4;98.5;0 (0);11.9;0
Abu Dhabi;June;81.1;101.3;0 (0);12.2;0
Abu Dhabi;July;85.3;104;1 (0);12.1;0
Abu Dhabi;August;86;105.3;0 (0);11.6;0
Abu Dhabi;September;82;101.1;0 (0);10.9;0
Abu Dhabi;October;76.4;95.1;0 (0);10.1;0
Abu Dhabi;November;69.9;85.9;3 (0);9.4;0
Abu Dhabi;December;63.1;77.8;6 (0);8.5;1
Aegina;January;44.1;52.4;59 (2);6.3;6
Aegina;February;44.3;53.8;50 (1);7.2;6
Aegina;March;47.3;59.1;49 (1);8.9;4
Aegina;April;52.3;65.6;19 (0);10.9;3
Aegina;May;60.1;74.7;13 (0);12.3;2
Aegina;June;68.2;83.8;4 (0);13.0;1
Aegina;July;73.4;88.8;1 (0);12.9;0
Aegina;August;74.2;88.4;2 (0);12.1;1
Aegina;September;68.5;80.1;16 (0);10.6;2
Aegina;October;61.7;71.2;34 (1);8.5;3
Aegina;November;54.6;62.8;59 (2);6.9;5
Aegina;December;47.5;55.1;70 (2);6.2;6
Agra;January;46.4;69.1;15 (0);8.5;2
Agra;February;52;76.3;21 (0);9.6;2
Agra;March;60.8;88.2;12 (0);10.6;2
Agra;April;71;99.8;8 (0);11.5;2
Agra;May;79.1;104.4;12 (0);12.1;3
Agra;June;83.1;101.6;78 (3);11.7;6
Agra;July;80.4;92.3;225 (8);9.3;15
Agra;August;78.6;89.6;231 (9);8.6;15
Agra;September;76;90.4;108 (4);9.1;9
Agra;October;67.6;90.5;22 (0);10.0;2
Agra;November;58.5;82.5;6 (0);9.6;1
Agra;December;49.3;72.8;8 (0);9.0;1
Albuquerque;January;26.8;47.4;16 (0);8.3;3
Albuquerque;February;29.8;53.8;14 (0);9.1;3
Albuquerque;March;36.7;63.4;17 (0);10.3;2
Albuquerque;April;44;72.1;14 (0);11.4;2
Albuquerque;May;53;80.7;13 (0);12.3;2
Albuquerque;June;63.4;91;8 (0);12.9;1
Albuquerque;July;67.6;91.2;25 (0);12.6;4
Albuquerque;August;65.1;88.4;21 (0);11.8;4
Albuquerque;September;58.7;82.5;23 (0);10.8;3
Albuquerque;October;47.3;70.8;24 (0);9.6;3
Albuquerque;November;36;57.9;16 (0);8.7;2
Albuquerque;December;27.5;46.6;20 (0);8.1;3
Amman;January;37.8;53.6;45 (1);6.9;5
Amman;February;39.4;56.6;44 (1);7.6;6
Amman;March;44.2;64;28 (1);9.0;5
Amman;April;50.1;72.5;12 (0);10.6;2
Amman;May;57.5;81;4 (0);12.0;1
Amman;June;62.7;86.9;0 (0);12.5;0
Amman;July;66.3;90.4;0 (0);12.4;0
Amman;August;67;90.4;0 (0);11.6;0
Amman;September;63.8;85.8;1 (0);10.7;0
Amman;October;58.3;77.8;7 (0);9.7;2
Amman;November;47.9;66.4;17 (0);8.4;3
Amman;December;40.6;57.3;29 (1);7.3;4
Amsterdam;January;35.7;42.5;69 (2);3.3;9
Amsterdam;February;35;43.4;57 (2);4.2;9
Amsterdam;March;37.8;48.4;58 (2);5.5;9
Amsterdam;April;43;55.6;57 (2);8.0;9
Amsterdam;May;49.4;61.5;68 (2);9.1;9
Amsterdam;June;54.4;66.2;73 (2);9.5;9
Amsterdam;July;58.6;69.8;88 (3);9.7;11
Amsterdam;August;58.6;69.4;86 (3);8.7;10
Amsterdam;September;54.9;64.9;76 (2);6.9;9
Amsterdam;October;49;57.7;70 (2);5.4;9
Amsterdam;November;42.5;49.6;68 (2);3.7;10
Amsterdam;December;37.4;43.9;74 (2);3.1;10
Ancient;January;40.7;51.1;58 (2);5.5;7
Ancient;February;41.2;52.9;53 (2);6.4;6
Ancient;March;44.3;58.7;53 (2);8.2;5
Ancient;April;49.6;65.6;24 (0);10.4;3
Ancient;May;57.5;74.8;20 (0);12.1;3
Ancient;June;65.7;83.5;7 (0);13.0;1
Ancient;July;70.8;88.2;3 (0);12.9;1
Ancient;August;71.4;87.6;3 (0);12.0;1
Ancient;September;65.2;79.5;18 (0);10.3;2
Ancient;October;57.8;70.2;33 (1);7.8;3
Ancient;November;50.6;61.5;54 (2);6.1;5
Ancient;December;43.8;53.6;65 (2);5.3;7
Annecy;January;25.8;38.6;132 (5);5.0;9
Annecy;February;26.9;40.7;117 (4);5.8;8
Annecy;March;32.2;48.6;123 (4);7.0;10
Annecy;April;39;56.5;128 (5);8.4;11
Annecy;May;46.2;62.9;172 (6);8.9;13
Annecy;June;53.4;70.3;158 (6);10.3;12
Annecy;July;57.4;73.5;151 (5);10.4;11
Annecy;August;56.8;72.8;134 (5);9.4;10
Annecy;September;50;66;120 (4);7.6;9
Annecy;October;42.7;59.2;122 (4);6.5;9
Annecy;November;33.3;47.2;141 (5);5.4;10
Annecy;December;27.5;40.1;148 (5);4.8;10
Aran;January;34.1;49.6;42 (1);5.2;6
Aran;February;35.5;53.1;37 (1);6.5;5
Aran;March;40;59.9;43 (1);7.9;5
Aran;April;44.8;65.2;52 (2);9.4;6
Aran;May;52;74;47 (1);11.4;6
Aran;June;61.6;85.7;21 (0);12.9;3
Aran;July;67;92;8 (0);13.1;1
Aran;August;66.7;90.9;11 (0);12.1;2
Aran;September;59.8;81.3;26 (1);10.5;3
Aran;October;51.4;69.6;62 (2);8.0;6
Aran;November;41.1;56.5;57 (2);6.0;6
Aran;December;35.6;50.7;52 (2);5.3;6
Arles;January;38.2;51;59 (2);6.4;5
Arles;February;38.3;53.2;43 (1);7.5;4
Arles;March;43.1;60.4;43 (1);8.8;4
Arles;April;48.7;66.5;68 (2);10.2;6
Arles;May;55.4;73.9;60 (2);11.7;5
Arles;June;63.3;83.2;34 (1);13.1;4
Arles;July;67.9;88.1;22 (0);13.1;3
Arles;August;67.3;87.2;35 (1);11.9;3
Arles;September;60.9;78.3;91 (3);10.0;5
Arles;October;54.8;69.2;100 (3);7.8;7
Arles;November;45.9;58.2;96 (3);6.8;7
Arles;December;39.9;52.2;54 (2);6.4;6
Asheville;January;27.7;45;103 (4);6.0;7
Asheville;February;30.6;48.8;83 (3);6.3;7
Asheville;March;36.5;56.4;110 (4);7.1;8
Asheville;April;45.1;66;94 (3);8.6;8
Asheville;May;53.5;72.5;93 (3);9.3;9
Asheville;June;61;79;99 (3);10.1;11
Asheville;July;64.1;81.5;106 (4);9.8;11
Asheville;August;63.7;80.9;109 (4);8.9;11
Asheville;September;58.8;75.7;95 (3);7.6;8
Asheville;October;47.8;66;89 (3);6.8;6
Asheville;November;37.4;55.9;85 (3);6.5;6
Asheville;December;31.4;47.7;93 (3);5.5;7
Athens;January;41;52.8;53 (2);5.7;6
Athens;February;41.8;54.9;49 (1);6.5;5
Athens;March;45.5;60.7;49 (1);8.3;5
Athens;April;51;68;28 (1);10.5;4
Athens;May;59.3;77.6;24 (0);12.0;3
Athens;June;67.3;86.4;11 (0);12.9;2
Athens;July;71.8;91.1;6 (0);12.8;1
Athens;August;71.7;90.6;5 (0);12.0;1
Athens;September;65.8;82.3;16 (0);10.2;2
Athens;October;58.5;72.9;28 (1);7.9;3
Athens;November;51.4;63.7;49 (1);6.3;5
Athens;December;44.4;55.5;60 (2);5.5;6
Atlanta;January;35.7;52.4;111 (4);6.3;7
Atlanta;February;38.7;56.6;107 (4);6.4;7
Atlanta;March;44.4;63.9;113 (4);7.5;7
Atlanta;April;52.3;72.5;89 (3);8.8;7
Atlanta;May;60.4;80;80 (3);9.9;7
Atlanta;June;68.1;85.9;100 (3);10.4;10
Atlanta;July;71.1;87.8;111 (4);10.2;11
Atlanta;August;71;87.6;100 (3);9.3;10
Atlanta;September;65.8;82.4;86 (3);8.2;7
Atlanta;October;55.4;73;81 (3);7.2;5
Atlanta;November;45;62.9;95 (3);6.7;6
Atlanta;December;38.9;54.9;110 (4);5.6;7
Auckland;January;62.6;72.4;76 (2);7.6;8
Auckland;February;63.6;73.3;73 (2);6.9;7
Auckland;March;61.5;71;77 (3);6.9;7
Auckland;April;58.1;66.9;83 (3);6.3;8
Auckland;May;54.7;62.7;101 (3);6.1;9
Auckland;June;51.3;58.8;106 (4);5.8;10
Auckland;July;49.1;57.2;121 (4);6.0;11
